label,hero,outs,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_check_minus_4x,check_better_rate,preferred_action_by_average
22,2c 2d,0,628,0.108151551,0.070532510,0.116997222,-0.037619041,0.202229,4x
22,2c 2d,1,341,-0.865467595,-0.543970510,-0.543970510,0.321497085,1.000000,check
22,2c 2d,2,31,-1.834679494,-1.090316841,-1.090316841,0.744362653,1.000000,check
33,3c 3d,0,637,0.456750737,0.254930599,0.458923056,-0.201820138,0.031397,4x
33,3c 3d,1,325,-0.455857448,-0.346497271,-0.341189472,0.109360178,0.830769,check
33,3c 3d,2,38,-1.392871086,-0.884819867,-0.884819867,0.508051220,1.000000,check
44,4c 4d,0,618,0.790003834,0.445048776,0.790040937,-0.344955059,0.003236,4x
44,4c 4d,1,348,-0.043095556,-0.129190662,-0.021088174,-0.086095106,0.244253,4x
44,4c 4d,2,34,-0.908867047,-0.654736140,-0.654301208,0.254130908,0.970588,check
55,5c 5d,0,642,1.141572078,0.656882639,1.141572078,-0.484689439,0.000000,4x
55,5c 5d,1,317,0.353303110,0.096820628,0.355749561,-0.256482482,0.044164,4x
55,5c 5d,2,41,-0.382765359,-0.375553926,-0.327326377,0.007211432,0.512195,check
A2o,Ac 2d,0,249,0.480444528,0.185035228,0.480444528,-0.295409299,0.000000,4x
A2o,Ac 2d,1,403,0.108721072,-0.041494082,0.109393848,-0.150215153,0.014888,4x
A2o,Ac 2d,2,258,-0.237463323,-0.243517775,-0.216834891,-0.006054452,0.422481,4x
A2o,Ac 2d,3,82,-0.606421166,-0.450687786,-0.450687786,0.155733380,1.000000,check
A2o,Ac 2d,4,8,-0.912729941,-0.614241046,-0.614241046,0.298488895,1.000000,check
A2s,Ac 2c,0,243,0.757222480,0.381912951,0.757222480,-0.375309530,0.000000,4x
A2s,Ac 2c,1,410,0.441898239,0.189717932,0.441929183,-0.252180307,0.002439,4x
A2s,Ac 2c,2,255,0.169558696,0.034840984,0.172704641,-0.134717712,0.054902,4x
A2s,Ac 2c,3,77,-0.144912405,-0.140712012,-0.106882945,0.004200393,0.467532,check
A2s,Ac 2c,4,14,-0.393600372,-0.259951117,-0.259951117,0.133649255,1.000000,check
A2s,Ac 2c,5,1,-1.098244730,-0.702865405,-0.702865405,0.395379325,1.000000,check
A3o,Ac 3d,0,227,0.547078910,0.223909634,0.547078910,-0.323169275,0.000000,4x
A3o,Ac 3d,1,391,0.224851463,0.022232909,0.224868191,-0.202618554,0.002558,4x
A3o,Ac 3d,2,298,-0.140298348,-0.194703962,-0.132186163,-0.054405614,0.197987,4x
A3o,Ac 3d,3,72,-0.463709421,-0.374120811,-0.370770018,0.089588610,0.888889,check
A3o,Ac 3d,4,11,-0.839364743,-0.588490641,-0.588490641,0.250874102,1.000000,check
A3o,Ac 3d,5,1,-1.345947123,-0.876237542,-0.876237542,0.469709581,1.000000,check
A3s,Ac 3c,0,230,0.859812966,0.444785345,0.859812966,-0.415027621,0.000000,4x
A3s,Ac 3c,1,418,0.550929125,0.254377881,0.550929125,-0.296551244,0.000000,4x
A3s,Ac 3c,2,263,0.269426699,0.088444257,0.270555397,-0.180982443,0.026616,4x
A3s,Ac 3c,3,78,-0.010209774,-0.063515666,0.006095488,-0.053305892,0.294872,4x
A3s,Ac 3c,4,10,-0.314360019,-0.225942272,-0.213141691,0.088417748,0.700000,check
A3s,Ac 3c,5,1,-0.537892909,-0.358288967,-0.358288967,0.179603942,1.000000,check
A4o,Ac 4d,0,228,0.628619264,0.269371548,0.628619264,-0.359247717,0.000000,4x
A4o,Ac 4d,1,415,0.311768420,0.069486951,0.311774721,-0.242281469,0.002410,4x
A4o,Ac 4d,2,258,0.002263873,-0.114382922,0.004642184,-0.116646795,0.050388,4x
A4o,Ac 4d,3,89,-0.354512827,-0.314814091,-0.302322986,0.039698736,0.685393,check
A4o,Ac 4d,4,10,-0.783445591,-0.551319908,-0.551319908,0.232125683,1.000000,check
A4s,Ac 4c,0,219,0.936887987,0.489018471,0.936887987,-0.447869516,0.000000,4x
A4s,Ac 4c,1,431,0.637606117,0.303333795,0.637606117,-0.334272322,0.000000,4x
A4s,Ac 4c,2,264,0.350395741,0.130162851,0.350618258,-0.220232889,0.003788,4x
A4s,Ac 4c,3,71,0.010088696,-0.064409447,0.018970746,-0.074498144,0.183099,4x
A4s,Ac 4c,4,15,-0.398070364,-0.297042317,-0.283457177,0.101028047,0.800000,check
A5o,Ac 5d,0,239,0.743813369,0.335552328,0.743813369,-0.408261041,0.000000,4x
A5o,Ac 5d,1,414,0.422590913,0.131911390,0.422590913,-0.290679524,0.000000,4x
A5o,Ac 5d,2,256,0.092002446,-0.066970962,0.093081380,-0.158973408,0.015625,4x
A5o,Ac 5d,3,77,-0.246538903,-0.266207025,-0.228073187,-0.019668122,0.324675,4x
A5o,Ac 5d,4,13,-0.533881433,-0.424014705,-0.424014705,0.109866727,1.000000,check
A5o,Ac 5d,5,1,-0.770412962,-0.529864182,-0.529864182,0.240548780,1.000000,check
A5s,Ac 5c,0,242,1.027800466,0.542161271,1.027800466,-0.485639194,0.000000,4x
A5s,Ac 5c,1,465,0.726193426,0.349265710,0.726193426,-0.376927717,0.000000,4x
A5s,Ac 5c,2,221,0.461961841,0.191591545,0.462127103,-0.270370296,0.004525,4x
A5s,Ac 5c,3,55,0.168099826,0.027196204,0.174859108,-0.140903623,0.109091,4x
A5s,Ac 5c,4,15,-0.056325008,-0.101214092,-0.045892644,-0.044889084,0.466667,4x
A5s,Ac 5c,5,2,-0.428109427,-0.299956630,-0.299956630,0.128152798,1.000000,check
A6o,Ac 6d,0,229,0.729460459,0.316047672,0.729460459,-0.413412787,0.000000,4x
A6o,Ac 6d,1,459,0.402593549,0.109762161,0.402593549,-0.292831388,0.000000,4x
A6o,Ac 6d,2,251,0.069740639,-0.092756021,0.070320768,-0.162496660,0.015936,4x
A6o,Ac 6d,3,58,-0.272613501,-0.289374728,-0.257541663,-0.016761226,0.310345,4x
A6o,Ac 6d,4,3,-0.731199425,-0.549218304,-0.549218304,0.181981121,1.000000,check
A6s,Ac 6c,0,260,1.016131944,0.518902179,1.016131944,-0.497229765,0.000000,4x
A6s,Ac 6c,1,393,0.695460251,0.312684533,0.695460251,-0.382775718,0.000000,4x
A6s,Ac 6c,2,261,0.399754186,0.134546601,0.399754186,-0.265207585,0.000000,4x
A6s,Ac 6c,3,79,0.070461358,-0.055098596,0.072232986,-0.125559953,0.063291,4x
A6s,Ac 6c,4,7,-0.111955097,-0.149201707,-0.102194914,-0.037246610,0.285714,4x
A7o,Ac 7d,0,250,0.865789684,0.394949508,0.865789684,-0.470840176,0.000000,4x
A7o,Ac 7d,1,427,0.526971577,0.177826424,0.526971577,-0.349145152,0.000000,4x
A7o,Ac 7d,2,245,0.180157989,-0.032966041,0.180157989,-0.213124030,0.000000,4x
A7o,Ac 7d,3,64,-0.154044301,-0.225940739,-0.152359215,-0.071896438,0.046875,4x
A7o,Ac 7d,4,12,-0.594178167,-0.477645633,-0.477645633,0.116532534,1.000000,check
A7o,Ac 7d,5,2,-0.920437700,-0.643305007,-0.643305007,0.277132694,1.000000,check
A7s,Ac 7c,0,243,1.140656737,0.592188471,1.140656737,-0.548468265,0.000000,4x
A7s,Ac 7c,1,406,0.830603844,0.392692040,0.830603844,-0.437911804,0.000000,4x
A7s,Ac 7c,2,260,0.524650039,0.205643077,0.524650039,-0.319006962,0.000000,4x
A7s,Ac 7c,3,80,0.238752606,0.048327365,0.238752606,-0.190425240,0.000000,4x
A7s,Ac 7c,4,11,-0.122113245,-0.156848655,-0.099244289,-0.034735409,0.272727,4x
