label,hero,observed_outs,max_outs,first_exact_outs_where_avg_check_exceeds_4x,first_exact_bucket_samples,first_exact_avg_ev_4x,first_exact_avg_ev_check,rough_threshold_outs_pooled,rough_threshold_samples,rough_threshold_avg_ev_4x,rough_threshold_avg_ev_check
22,2c 2d,0 1 2,2,1,341,-0.865467595,-0.543970510,0,1000,-0.284080340,-0.174999350
33,3c 3d,0 1 2,2,1,325,-0.455857448,-0.346497271,1,363,-0.553947030,-0.402850600
44,4c 4d,0 1 2,2,2,34,-0.908867047,-0.654736140,2,34,-0.908867047,-0.654736140
55,5c 5d,0 1 2,2,2,41,-0.382765359,-0.375553926,2,41,-0.382765359,-0.375553926
A2o,Ac 2d,0 1 2 3 4,4,3,82,-0.606421166,-0.450687786,2,348,-0.339925036,-0.300856071
A2s,Ac 2c,0 1 2 3 4 5,5,3,77,-0.144912405,-0.140712012,3,92,-0.193118534,-0.164967456
A3o,Ac 3d,0 1 2 3 4 5,5,3,72,-0.463709421,-0.374120811,3,84,-0.523405209,-0.408170631
A3s,Ac 3c,0 1 2 3 4 5,5,4,10,-0.314360019,-0.225942272,4,11,-0.334681191,-0.237973789
A4o,Ac 4d,0 1 2 3 4,4,3,89,-0.354512827,-0.314814091,3,99,-0.397839369,-0.338703567
A4s,Ac 4c,0 1 2 3 4,4,4,15,-0.398070364,-0.297042317,4,15,-0.398070364,-0.297042317
A5o,Ac 5d,0 1 2 3 4 5,5,4,13,-0.533881433,-0.424014705,3,91,-0.293344694,-0.291648311
A5s,Ac 5c,0 1 2 3 4 5,5,5,2,-0.428109427,-0.299956630,5,2,-0.428109427,-0.299956630
A6o,Ac 6d,0 1 2 3 4,4,4,3,-0.731199425,-0.549218304,4,3,-0.731199425,-0.549218304
A6s,Ac 6c,0 1 2 3 4,4,,,,,,,,
A7o,Ac 7d,0 1 2 3 4 5,5,4,12,-0.594178167,-0.477645633,4,14,-0.640786672,-0.501311258
A7s,Ac 7c,0 1 2 3 4,4,,,,,,,,
A8o,Ac 8d,0 1 2 3 4 5,5,4,8,-0.426338172,-0.375567167,4,9,-0.491836879,-0.413710852
A8s,Ac 8c,0 1 2 3 4 5,5,5,2,-0.395950124,-0.299125158,5,2,-0.395950124,-0.299125158
A9o,Ac 9d,0 1 2 3 4 5,5,4,15,-0.450700406,-0.392814326,4,16,-0.476369530,-0.406354368
A9s,Ac 9c,0 1 2 3 4 5,5,5,1,-0.543724138,-0.391702817,5,1,-0.543724138,-0.391702817
J2o,Jc 2d,0 1 2 3 4,4,0,235,-0.522100735,-0.276510189,0,1000,-1.078685362,-0.563152848
J2s,Jc 2c,0 1 2 3 4 5,5,0,240,-0.202835738,-0.082235884,0,1000,-0.702052219,-0.340626774
J3o,Jc 3d,0 1 2 3 4,4,0,232,-0.427458246,-0.228872045,0,1000,-0.951149203,-0.502042018
J3s,Jc 3c,0 1 2 3 4,4,0,234,-0.116640486,-0.038004676,0,1000,-0.605665320,-0.294520111
J4o,Jc 4d,0 1 2 3 4 5,5,0,257,-0.323647312,-0.177754170,0,1000,-0.852484627,-0.454541422
J4s,Jc 4c,0 1 2 3 4 5,5,0,251,-0.031548163,0.003647656,0,1000,-0.497996458,-0.241941388
J5o,Jc 5d,0 1 2 3 4,4,0,233,-0.229861842,-0.134955841,0,1000,-0.740921377,-0.405848294
