label,family,hero,avg_ev_4x,avg_ev_check,avg_best_ev,switch_gain,weight,combos,dollar_contribution
22,pairs_22_55,2c 2d,-0.284080340,-0.174999350,-0.145819510,0.029179839,0.004524886878,6,0.132035472
33,pairs_22_55,3c 3d,0.089867448,0.016156024,0.147824253,0.057956806,0.004524886878,6,0.262247990
44,pairs_22_55,4c 4d,0.442323637,0.207820764,0.458660373,0.016336737,0.004524886878,6,0.073921886
55,pairs_22_55,5c 5d,0.829192980,0.437013082,0.832241503,0.003048523,0.004524886878,6,0.013794223
A2o,ax_below_at,Ac 2d,0.045151367,-0.075346256,0.065902679,0.020751312,0.009049773756,12,0.187794682
A2s,ax_below_at,Ac 2c,0.390653903,0.164296644,0.396663543,0.006009640,0.003016591252,4,0.018128628
A3o,ax_below_at,Ac 3d,0.126328889,-0.032787559,0.138673823,0.012344934,0.009049773756,12,0.111718856
A3s,ax_below_at,Ac 3c,0.494426723,0.224319489,0.497187168,0.002760445,0.003016591252,4,0.008327134
A4o,ax_below_at,Ac 4d,0.233907068,0.027211350,0.241489440,0.007582372,0.009049773756,12,0.068618749
A4s,ax_below_at,Ac 4c,0.567236423,0.263166198,0.569644991,0.002408568,0.003016591252,4,0.007265665
A5o,ax_below_at,Ac 5d,0.349582292,0.091123759,0.352949176,0.003366883,0.009049773756,12,0.030469532
A5s,ax_below_at,Ac 5c,0.696045619,0.335330981,0.696866694,0.000821075,0.003016591252,4,0.002476846
A6o,ax_below_at,Ac 6d,0.351336603,0.081042598,0.352902325,0.001565722,0.009049773756,12,0.014169434
A6s,ax_below_at,Ac 6c,0.646628788,0.287519050,0.646837068,0.000208280,0.003016591252,4,0.000628295
A7o,ax_below_at,Ac 7d,0.466773143,0.145114015,0.468833644,0.002060501,0.009049773756,12,0.018647071
A7s,ax_below_at,Ac 7c,0.768570721,0.358942821,0.768822279,0.000251559,0.003016591252,4,0.000758849
A8o,ax_below_at,Ac 8d,0.576104967,0.206738258,0.576898378,0.000793410,0.009049773756,12,0.007180185
A8s,ax_below_at,Ac 8c,0.859226072,0.408780038,0.859419722,0.000193650,0.003016591252,4,0.000584163
A9o,ax_below_at,Ac 9d,0.672691569,0.262603936,0.673824977,0.001133408,0.009049773756,12,0.010257089
A9s,ax_below_at,Ac 9c,0.952260748,0.462114658,0.952454143,0.000193395,0.003016591252,4,0.000583393
J2o,any_jx,Jc 2d,-1.078685362,-0.563152848,-0.563152848,0.000000000,0.009049773756,12,0.000000000
J2s,any_jx,Jc 2c,-0.702052219,-0.340626774,-0.339077583,0.001549191,0.003016591252,4,0.004673276
J3o,any_jx,Jc 3d,-0.951149203,-0.502042018,-0.502042018,0.000000000,0.009049773756,12,0.000000000
J3s,any_jx,Jc 3c,-0.605665320,-0.294520111,-0.291588007,0.002932104,0.003016591252,4,0.008844960
J4o,any_jx,Jc 4d,-0.852484627,-0.454541422,-0.454512729,0.000028693,0.009049773756,12,0.000259664
J4s,any_jx,Jc 4c,-0.497996458,-0.241941388,-0.235327618,0.006613769,0.003016591252,4,0.019951039
J5o,any_jx,Jc 5d,-0.740921377,-0.405848294,-0.405491507,0.000356787,0.009049773756,12,0.003228839
J5s,any_jx,Jc 5c,-0.396670516,-0.193588437,-0.180151572,0.013436865,0.003016591252,4,0.040533529
J6o,any_jx,Jc 6d,-0.705957101,-0.389547721,-0.387875850,0.001671871,0.009049773756,12,0.015130051
J6s,any_jx,Jc 6c,-0.317028357,-0.157074829,-0.138112541,0.018962288,0.003016591252,4,0.057201472
J7o,any_jx,Jc 7d,-0.475100817,-0.263930364,-0.251094228,0.012836136,0.009049773756,12,0.116164129
J7s,any_jx,Jc 7c,-0.126532245,-0.041194900,0.002358276,0.043553176,0.003016591252,4,0.131382129
J8o,any_jx,Jc 8d,-0.265504757,-0.147289534,-0.112023783,0.035265751,0.009049773756,12,0.319147066
J8s,any_jx,Jc 8c,0.106865551,0.100537523,0.186170035,0.079304483,0.003016591252,4,0.239229211
J9o,any_jx,Jc 9d,-0.070613510,-0.033941667,0.033983887,0.067925554,0.009049773756,12,0.614710893
